4.5000	1.0000	-5.0000	0.0100	0.0100	0.0100
4.4000	0.9000	-4.9000	0.0100	0.0100	0.0100
4.3000	0.8000	-4.8000	0.0100	0.0100	0.0100
4.2000	0.7000	-4.7000	0.0100	0.0100	0.0100
4.1000	0.6000	-4.6000	0.0100	0.0100	0.0100
4.0000	0.5000	-4.5000	0.0100	0.0100	0.0100
3.9000	0.4000	-4.4000	0.0100	0.0100	0.0100
3.8000	0.3000	-4.3000	0.0100	0.0100	0.0100
3.7727	1.3511	-4.6657	0.0100	0.0100	0.0100
3.5000	0.1500	-6.1000	0.0100	0.0100	0.0100
3.4000	0.2500	-6.5000	0.0100	0.0100	0.0100
3.2000	0.3500	-6.3000	0.0100	0.0100	0.0100
3.1800	0.2000	-6.3000	0.0100	0.0100	0.0100
3.1500	0.2500	-6.5000	0.0100	0.0100	0.0100
3.1300	0.0500	-6.6600	0.0100	0.0100	0.0100
3.1000	0.3500	-6.4000	0.0100	0.0100	0.0100
3.0700	0.1500	-6.0000	0.0100	0.0100	0.0100
-3.0700	-0.1500	6.0000	0.0100	0.0100	0.0100
-3.1300	-0.0500	6.6600	0.0100	0.0100	0.0100
-3.1500	-0.2500	6.5000	0.0100	0.0100	0.0100
-3.1800	-0.2000	6.3000	0.0100	0.0100	0.0100
-3.2000	-0.3500	6.3000	0.0100	0.0100	0.0100
-3.3000	-0.0700	7.0000	0.0100	0.0100	0.0100
-3.4000	-0.2500	6.5000	0.0100	0.0100	0.0100
-3.5000	-0.1500	6.1000	0.0100	0.0100	0.0100
-3.6000	-0.9000	5.2000	0.0100	0.0100	0.0100
-3.7727	-1.3511	4.6657	4.0000	0.5000	-4.5000
-3.9000	-0.4000	4.4000	3.1000	0.3500	-6.4000
-4.0000	-0.5000	4.5000	3.3000	0.0700	-7.0000
-4.5000	-1.0000	5.0000	4.2000	0.7000	-4.7000
